# Frequency                gain                      delta_phi                
5.110816896609039759e+02 7.118190312854784096e-01 2.837064544040668324e-02
5.112034823897769797e+02 7.121493277354061791e-01 2.702871452839872290e-02
5.113253041423249101e+02 7.110989726286791601e-01 2.458291417472313611e-02
5.114471549254641900e+02 7.124863931304630249e-01 2.095644049394174147e-02
5.115690347461128908e+02 7.114502651657520493e-01 1.949963155814149474e-02
5.116909436111908462e+02 7.112320930661188978e-01 1.662242649321488130e-02
5.118128815276198225e+02 7.122933022121062940e-01 1.310478137304649238e-02
5.119348485023219837e+02 7.115912485182704916e-01 9.661004741867262879e-03
5.120568445422225068e+02 7.117499276862089275e-01 5.835070040514533929e-03
5.121788696542477055e+02 7.112731098814982778e-01 5.054746133956733445e-03
5.123009238453256557e+02 7.108941823888369482e-01 8.761222726678674633e-04
5.124230071223859113e+02 7.116323354600081474e-01 -6.150873201318241001e-04
5.125451194923597313e+02 7.117163499210094058e-01 -4.051706764669482652e-03
5.126672609621803076e+02 7.100313900252045451e-01 -7.142963010535741120e-03
5.127894315387819688e+02 7.113900924060744257e-01 -9.732822947726926799e-03
5.129116312291015447e+02 7.110969108255520421e-01 -1.316776694010091120e-02
5.130338600400760924e+02 7.109339414482059860e-01 -1.619491216176482951e-02
5.131561179786456250e+02 7.119495378413467357e-01 -1.785587494611151627e-02
5.132784050517511787e+02 7.108374051876632516e-01 -2.055419830057525488e-02
5.134007212663358359e+02 7.106064697077797421e-01 -2.415757124053286020e-02
5.135230666293440436e+02 7.112024678166828373e-01 -2.770750102417585126e-02
5.136454411477219537e+02 7.107134754585320291e-01 -3.012568009202176711e-02
5.137678448284174237e+02 7.102295838627760149e-01 -3.247179298105962175e-02
5.138902776783800164e+02 7.102406372522428457e-01 -3.507029288912377751e-02
5.140127397045607722e+02 7.095226171688832073e-01 -3.665715693132787223e-02
5.141352309139130057e+02 7.102135993882598974e-01 -4.176207768312600876e-02
5.142577513133902585e+02 7.098959625642977667e-01 -4.267471703886016599e-02
5.143803009099491419e+02 7.102266271323411928e-01 -4.502726938935852630e-02
5.145028797105474041e+02 7.096175202530671244e-01 -4.987989794011937761e-02
5.146254877221443849e+02 7.095513423194267366e-01 -5.222375441283411135e-02
5.147481249517013566e+02 7.098900044457230329e-01 -5.547173619900647168e-02
5.148707914061809561e+02 7.088627302937403618e-01 -5.790458208197257761e-02
5.149934870925476389e+02 7.087984107994339533e-01 -6.037806669408363192e-02
5.151162120177673387e+02 7.090589671406499761e-01 -6.282232578642465981e-02
5.152389661888084902e+02 7.086540860827983401e-01 -6.677171856513774983e-02
5.153617496126394144e+02 7.087437746539752004e-01 -6.796365648935775994e-02
5.154845622962316156e+02 7.086458300529294707e-01 -7.160601961569401652e-02
5.156074042465578486e+02 7.080938983675759690e-01 -7.491778225541523284e-02
5.157302754705924599e+02 7.076655506985430888e-01 -7.767164606193865950e-02
5.158531759753116148e+02 7.080150189607247180e-01 -8.135430300042267859e-02
5.159761057676927294e+02 7.073104983135408697e-01 -8.194494877864544335e-02
5.160990648547154933e+02 7.072218801049386938e-01 -8.527708928148713952e-02
5.162220532433607332e+02 7.064316320629862034e-01 -8.802409089150842192e-02
5.163450709406115493e+02 7.068956946503808236e-01 -9.104860775357037639e-02
5.164681179534516104e+02 7.067613550830877944e-01 -9.424780630603635245e-02
5.165911942888672002e+02 7.062156308731802890e-01 -9.586077675071846826e-02
5.167142999538459662e+02 7.061593607538729778e-01 -9.978481778816883363e-02
5.168374349553774891e+02 7.058224144040020631e-01 -1.037337626389631673e-01
5.169605993004524862e+02 7.057634129322749583e-01 -1.040356754386553284e-01
5.170837929960639485e+02 7.051957177872298921e-01 -1.080994471098812859e-01
5.172070160492058903e+02 7.042617467329421732e-01 -1.107050212374987019e-01
5.173302684668745997e+02 7.044156606745424209e-01 -1.125980244487894133e-01
5.174535502560676150e+02 7.043550326235629155e-01 -1.167439583848008944e-01
5.175768614237848624e+02 7.041794087352291065e-01 -1.199730094248461221e-01
5.177002019770262677e+02 7.038105552398041809e-01 -1.214122912989763492e-01
5.178235719227950540e+02 7.040639400931771874e-01 -1.252513831033317260e-01
5.179469712680955809e+02 7.043769919612516972e-01 -1.267525448815796096e-01
5.180704000199339134e+02 7.033207987787404303e-01 -1.306308395964488334e-01
5.181938581853177084e+02 7.031983150177489872e-01 -1.339561202863475131e-01
5.183173457712562140e+02 7.020223688207295476e-01 -1.356141658174774278e-01
5.184408627847607249e+02 7.022813026106793366e-01 -1.394496767883586230e-01
5.185644092328436727e+02 7.006245353571920464e-01 -1.408931366549146524e-01
5.186879851225199900e+02 7.014053575959355857e-01 -1.437356477989535364e-01
5.188115904608048368e+02 7.020032201953239070e-01 -1.477969278356270344e-01
5.189352252547163289e+02 7.009196256741828668e-01 -1.492924860653119801e-01
5.190588895112739465e+02 7.002604459526347025e-01 -1.535305292057240756e-01
5.191825832374986476e+02 6.999388660793884887e-01 -1.547839547364384671e-01
5.193063064404132092e+02 7.000343286109471652e-01 -1.573234840737280926e-01
5.194300591270420000e+02 6.989979163428337028e-01 -1.601279978877312438e-01
5.195538413044112076e+02 6.989286433802297527e-01 -1.636602406261382647e-01
5.196776529795486113e+02 6.987239546201797769e-01 -1.664476585039111889e-01
5.198014941594839229e+02 6.983488543007272398e-01 -1.688608304839180896e-01
5.199253648512474228e+02 6.976541240306165514e-01 -1.710153422514952837e-01
5.200492650618723474e+02 6.974709039267394939e-01 -1.744464940258563246e-01
5.201731947983931832e+02 6.965136297739552562e-01 -1.764834487046247347e-01
5.202971540678460087e+02 6.968275519088423797e-01 -1.801658753896759890e-01
5.204211428772687213e+02 6.960246518338309984e-01 -1.829953818287881617e-01
5.205451612337006964e+02 6.957277413102553876e-01 -1.852144698417870217e-01
5.206692091441832417e+02 6.953982310796288369e-01 -1.872966441260657255e-01
