# Frequency                gain                      delta_phi                
5.046680270599923688e+02 4.689041291259380406e-01 3.308824351204058267e-01
5.047882913884432128e+02 4.690303450441536404e-01 3.299797638153703083e-01
5.049085843763452885e+02 4.693740804352241613e-01 3.267863422846155608e-01
5.050289060305286739e+02 4.690761773848071692e-01 3.255514662843559393e-01
5.051492563578237309e+02 4.695192892908121030e-01 3.238194444622015666e-01
5.052696353650638912e+02 4.702078506091333931e-01 3.220764969383385079e-01
5.053900430590836663e+02 4.700305070912967342e-01 3.196661329890355674e-01
5.055104794467191596e+02 4.701227955796707381e-01 3.188514042095267342e-01
5.056309445348082932e+02 4.705359034225931048e-01 3.182640452794931463e-01
5.057514383301904104e+02 4.711340139828257834e-01 3.148472715738006578e-01
5.058719608397065599e+02 4.705775180491841847e-01 3.134370012136713513e-01
5.059925120701994388e+02 4.710899119760803555e-01 3.116266106265341840e-01
5.061130920285134493e+02 4.717964255913542626e-01 3.118999414459278086e-01
5.062337007214948699e+02 4.713975317497497985e-01 3.097096958863683192e-01
5.063543381559904333e+02 4.717847374380397807e-01 3.068850894165247034e-01
5.064750043388498284e+02 4.711839035889057725e-01 3.051066507731996502e-01
5.065956992769238809e+02 4.710866169110008994e-01 3.015273544526291261e-01
5.067164229770650650e+02 4.725656677901770575e-01 3.015259673670165341e-01
5.068371754461275032e+02 4.715394659415572676e-01 3.012243281915814030e-01
5.069579566909669666e+02 4.727101125722303343e-01 2.986392701924280857e-01
5.070787667184407610e+02 4.726802201858074093e-01 2.962783390165846242e-01
5.071996055354078976e+02 4.730103803031955323e-01 2.954983766411252155e-01
5.073204731487295476e+02 4.729350758464184179e-01 2.931568048373978108e-01
5.074413695652670526e+02 4.733212457916219362e-01 2.915544740637909804e-01
5.075622947918847672e+02 4.738516470967484850e-01 2.901719083414473488e-01
5.076832488354482962e+02 4.737863074386446938e-01 2.883350449470714061e-01
5.078042317028247794e+02 4.746565081971919620e-01 2.863937699501475365e-01
5.079252434008830619e+02 4.740996911036769457e-01 2.841709221813228936e-01
5.080462839364935803e+02 4.740613485122402437e-01 2.823508612164160603e-01
5.081673533165284766e+02 4.739636325477191714e-01 2.807505457931429582e-01
5.082884515478614276e+02 4.746554368017723013e-01 2.787743352602594094e-01
5.084095786373683268e+02 4.750357743992015824e-01 2.771125544913410899e-01
5.085307345919252384e+02 4.751508144270408796e-01 2.763465736999641820e-01
5.086519194184112962e+02 4.756603399518984920e-01 2.735723192405230542e-01
